Item_Identifier,Outlet_Identifier,Item_Outlet_Sales
NCH29,OUT046,1530.0982047410655
FDU58,OUT013,3084.169479665292
FDY27,OUT017,2954.880563279816
FDV56,OUT035,1704.6349310348335
FDT59,OUT046,3747.431551908232
FDB23,OUT046,3563.1071456664117
FDR49,OUT045,742.8376371179752
FDB03,OUT010,777.1639306341946
FDN39,OUT045,2578.950253711833
FDX02,OUT027,5186.659823285503
FDQ16,OUT027,2703.2339760946443
FDU35,OUT018,1387.8533479901112
NCT29,OUT013,2040.884632649043
FDZ27,OUT046,763.092660899425
FDN57,OUT017,2091.1995829905413
FDA03,OUT018,2173.11038186091
FDZ36,OUT045,3100.1287612184356
NCU05,OUT013,1304.147838102805
FDT39,OUT018,2210.314655769334
FDK60,OUT017,1552.8668115808543
FDZ25,OUT017,2774.7828889455627
FDG12,OUT046,2052.710169440237
DRB01,OUT019,508.5726124760991
NCC43,OUT027,5206.477117647048
FDX13,OUT019,804.961773419962
FDM22,OUT049,914.1539239678452
FDJ03,OUT027,1201.4593001970586
FDU14,OUT018,3257.920050878622
FDB33,OUT010,377.70795921381875
FDP27,OUT046,3065.4438191829986
FDO38,OUT010,446.8376394505327
FDE28,OUT027,5157.612906623133
FDO27,OUT035,1543.7086782256006
DRL23,OUT027,2703.2339760946443
FDS28,OUT046,911.6018434335451
FDX24,OUT013,1481.1309650536643
FDZ02,OUT035,1561.7010728162732
FDL46,OUT045,1749.6819868369905
FDS60,OUT027,4831.370487395764
NCO06,OUT017,652.6625604459631
FDO16,OUT035,1389.2811199362743
FDC60,OUT049,1395.608537039622
FDA48,OUT018,3161.6917842325747
FDZ36,OUT027,5103.589715221074
FDK27,OUT045,2019.7048185335123
FDW23,OUT018,586.2265807684992
FDM14,OUT018,1513.649843286525
FDM14,OUT013,1647.5210156551348
FDW60,OUT018,2636.6777710541533
FDE21,OUT013,1916.5472955357454
NCM42,OUT035,1681.0029191710141
FDY59,OUT010,568.9273182826302
DRI49,OUT049,1307.8366769404051
FDT28,OUT019,206.1060547071152
FDQ22,OUT018,584.8765617085727
FDR60,OUT049,1317.432774735911
FDC50,OUT019,381.18014460740255
FDV24,OUT013,2445.291679830515
DRF48,OUT010,511.6273966291139
FDQ47,OUT046,658.9763431931407
DRN36,OUT049,1543.6330071457576
NCY06,OUT035,2144.1129317393707
FDE52,OUT035,1469.9840156996313
NCB54,OUT045,2053.794171093781
NCF31,OUT035,2482.7585646521625
FDJ08,OUT027,5140.267196312382
NCC07,OUT017,1661.3508565145005
NCD19,OUT027,1454.5785014021053
FDL46,OUT049,1896.1360041474015
FDM20,OUT045,3907.63831619397
NCI06,OUT010,381.5291350315752
DRM11,OUT035,4019.969520324527
NCH07,OUT018,2333.6734814255883
FDS23,OUT013,2095.80388987667
FDO49,OUT018,680.2428673429991
FDS35,OUT049,1084.79623536184
DRK39,OUT045,1325.4583648356847
DRI39,OUT049,920.3721180930439
FDV04,OUT017,2631.1315048055644
NCN14,OUT035,3166.371248367298
FDH08,OUT013,3831.455378006572
FDS20,OUT046,3081.25941799739
FDV40,OUT049,1227.458155639847
FDZ48,OUT010,560.1262131588852
FDS24,OUT027,2222.0106151649175
FDK44,OUT049,2902.810725620418
FDS48,OUT045,2433.284590813309
FDK26,OUT010,536.7572755577659
FDD23,OUT045,3112.3359083095784
NCH54,OUT017,2651.469048301198
NCP14,OUT010,583.9545091457575
FDM60,OUT010,342.52319534832645
FDV24,OUT017,2470.197949798161
FDH08,OUT018,3244.5345203277016
FDS12,OUT027,3308.2486275344204
FDR39,OUT027,4941.682559301097
FDP12,OUT027,1058.2323168439684
DRF60,OUT027,5244.435696887746
FDC09,OUT035,1704.6349310348335
FDF50,OUT018,2965.816947675098
FDG28,OUT035,3987.1844172523483
NCE19,OUT017,925.9854159415453
NCM53,OUT010,579.5729439830354
NCN18,OUT049,1793.0499926615526
FDF32,OUT035,3343.519553354484
FDF11,OUT013,3840.4597458827357
DRI59,OUT049,3998.930019023228
NCG54,OUT035,2751.9696748537012
FDM44,OUT046,1647.5210156551348
FDT57,OUT018,3272.153728360516
FDV24,OUT046,2445.291679830515
FDI50,OUT019,827.4885866360548
FDS09,OUT035,776.1559965385951
NCC31,OUT027,4006.124307252395
FDQ07,OUT019,582.3332222409601
FDC22,OUT017,3193.724369408121
FDZ56,OUT046,2722.806970512083
FDZ40,OUT019,335.0268205632613
FDS46,OUT027,3065.0422180546425
DRD24,OUT045,2105.2590081267167
FDV45,OUT017,3241.7169201100255
FDL26,OUT045,2388.3676151514865
FDA56,OUT018,1782.7147615928548
FDN27,OUT046,1774.4538872675887
FDM20,OUT049,3977.069972534285
FDO16,OUT017,1384.8966227955668
FDL03,OUT035,3302.3697115469377
FDE58,OUT046,1857.5695108408752
FDI02,OUT027,3053.3852131728595
NCC55,OUT019,260.2751946430855
FDR03,OUT018,3011.827882864522
FDB14,OUT017,1489.0146985885226
FDR45,OUT013,3804.764661322799
NCN07,OUT017,2126.491731941479
FDM51,OUT019,372.98182689858544
FDT52,OUT027,5249.011386326208
FDL26,OUT046,2413.0053260342447
NCZ42,OUT046,3627.314188390529
DRI47,OUT019,228.83025149449048
FDW40,OUT013,2124.2715880679766
FDN34,OUT046,2728.7326432126215
FDS01,OUT035,2997.7147670932764
NCG55,OUT045,1874.5375767528583
FDC11,OUT035,1380.887200798474
FDX35,OUT018,3161.000746596128
NCB06,OUT046,2605.428187701698
FDR09,OUT019,753.4431098303832
FDC53,OUT017,1553.6551199358794
FDY45,OUT013,3813.3892349534276
FDA22,OUT010,296.4089088775308
FDE02,OUT035,1553.3047760211064
FDW21,OUT045,1604.6040865255452
FDV34,OUT046,1176.9692177759246
FDS59,OUT049,1661.1619427710807
NCW17,OUT017,2140.59177706387
NCK54,OUT046,1903.7676089044353
FDG17,OUT019,836.5744226398293
FDG35,OUT017,2772.199995775963
FDD08,OUT010,342.52319534832645
NCO07,OUT017,3658.412715845752
FDJ10,OUT010,585.6312421079226
FDW36,OUT017,1663.896662543944
FDW21,OUT010,596.7692510052852
FDY19,OUT017,1990.8588193453131
DRE03,OUT013,750.3950790866639
NCC55,OUT049,667.9663745103195
FDH52,OUT010,319.04568158829784
FDO09,OUT017,3733.1541798443977
FDU43,OUT045,3756.316144836854
FDX09,OUT010,290.1964445496959
FDH40,OUT019,309.40921168389957
FDW58,OUT017,1572.4540154714377
FDC47,OUT017,3843.7168842540573
NCR41,OUT035,1574.585166583843
DRG49,OUT035,4064.9704560487094
FDC52,OUT027,4002.4688073738253
FDY13,OUT046,1177.876428122627
FDY35,OUT013,657.6263241332142
FDI35,OUT017,3205.00416189464
NCU18,OUT049,2150.5451352785017
FDY33,OUT018,2342.552689862936
FDC15,OUT027,4157.345256140796
FDU01,OUT049,3140.85401863388
NCU42,OUT046,2718.946224428571
NCV29,OUT018,2645.682138930317
NCY30,OUT017,3201.3432950480606
FDQ46,OUT049,1909.8802133954468
FDG58,OUT027,3990.312864938875
FDK33,OUT017,3652.4213830373847
NCD07,OUT045,1856.1598668213323
NCX29,OUT027,3984.3871922383364
NCT42,OUT013,2458.02442696841
DRN59,OUT035,799.6648265779987
FDI44,OUT035,1327.5707162457518
FDA45,OUT049,2528.2170524669255
FDP31,OUT045,963.5051998525133
FDY01,OUT046,1898.1695856042195
FDT09,OUT018,1837.8221167852591
DRH03,OUT027,2497.4816578698606
FDA36,OUT018,2851.539363939379
NCF31,OUT017,2470.197949798161
FDG14,OUT049,2461.4070762898536
FDG28,OUT027,5249.011386326208
FDU14,OUT049,3861.9979249724256
FDY47,OUT019,225.00339461050805
FDI56,OUT049,1451.0087396824133
DRD01,OUT013,912.5090537802477
FDM22,OUT046,909.7482665006513
FDH33,OUT013,658.9763431931407
DRZ24,OUT013,1898.7519743967234
NCQ38,OUT046,1647.5210156551348
FDO16,OUT027,2199.452413517276
FDU07,OUT027,4004.939162277153
NCB07,OUT013,2984.772437938212
FDU48,OUT045,2023.5197562476794
NCM43,OUT045,2610.6949432328342
FDR31,OUT010,458.0951205938484
DRK49,OUT018,584.8765617085727
NCI30,OUT010,743.7629525326153
DRD60,OUT017,3113.0018455072923
NCG19,OUT046,3476.6978636542744
FDH12,OUT035,1665.2418373308985
FDM32,OUT035,1501.2281818352517
FDM27,OUT035,2466.677676565631
NCU53,OUT027,4240.876727521552
NCQ18,OUT046,1644.3023715911127
FDS10,OUT013,2846.132528748579
FDB33,OUT027,4219.51775932897
FDI12,OUT013,1361.5895733723391
NCW42,OUT013,3612.9405779442313
NCC06,OUT018,1813.8724407839363
FDW02,OUT017,2128.1230410822973
NCD43,OUT017,1669.727789576456
FDM57,OUT018,1122.706605913453
FDA58,OUT017,3833.9304654700068
FDK56,OUT046,3059.671160816812
FDP52,OUT045,3814.6467102401475
FDW20,OUT018,1738.0511711297675
FDS52,OUT049,1658.3244330996597
NCT29,OUT018,1647.0762744012939
NCL54,OUT013,2868.2415175963397
FDC05,OUT045,3101.0359715651384
FDF34,OUT035,3177.948757700607
FDP03,OUT027,3225.344014749376
FDD32,OUT010,462.53024094071463
FDZ10,OUT045,2070.299467352519
FDZ40,OUT035,937.1960117356201
FDD51,OUT018,584.2509417625881
NCY30,OUT019,374.90333064771056
FDP58,OUT017,3618.902726014318
FDV49,OUT017,3916.338037572809
FDY24,OUT019,308.81999300967277
NCO55,OUT017,1664.8038728906465
FDR13,OUT017,1938.7540694570666
FDS51,OUT017,1006.6672155865635
FDP26,OUT045,1596.8707804879157
NCB54,OUT027,3308.2486275344204
FDF32,OUT017,3220.3992043817425
FDN31,OUT018,2884.113931059528
DRM48,OUT017,659.3637429160607
FDN20,OUT049,2734.7795877883063
DRL01,OUT046,3603.8579027120018
FDV56,OUT049,1659.231643446362
DRH13,OUT027,2703.2339760946443
FDA03,OUT017,2448.3389059961214
FDF47,OUT027,5121.902959108734
FDX32,OUT046,2449.152425914027
FDX57,OUT049,1550.2937776864467
NCA30,OUT045,3017.4660156395753
FDO49,OUT013,766.7481607779941
FDL04,OUT019,358.23678571433896
DRM48,OUT035,660.7089177030149
FDR16,OUT013,3455.6001128365997
NCC19,OUT018,2881.9942587357646
NCE42,OUT045,3031.5270857467112
FDY24,OUT017,925.9854159415453
FDH19,OUT049,2883.233233764793
FDJ46,OUT013,2872.4832506383773
FDN45,OUT010,738.7329575660635
FDY08,OUT035,2117.650565963157
FDZ37,OUT035,1410.9223573171537
NCT30,OUT045,742.8376371179752
DRY23,OUT018,586.2265807684992
NCZ30,OUT018,1773.710393716691
FDC44,OUT018,1630.113930172212
FDB45,OUT035,1613.3513862581167
FDY04,OUT013,2616.889498015717
FDM27,OUT046,2611.4320803476367
FDZ43,OUT017,3934.027630158664
FDT39,OUT019,227.84316972117367
NCC06,OUT019,237.21054170165104
FDL15,OUT027,3989.536135627077
FDL57,OUT017,3958.733563674633
FDU08,OUT046,1530.0982047410655
FDK40,OUT017,3955.2117260659434
FDQ12,OUT010,942.7603660702486
FDS48,OUT017,2495.263549023679
FDP09,OUT045,3501.813142300042
FDW21,OUT049,1658.3244330996597
FDY25,OUT035,3117.191612751183
DRE13,OUT017,1384.8966227955668
FDV43,OUT019,260.2751946430855
FDD22,OUT045,1776.0379086477667
FDM46,OUT019,330.80213670033123
NCO30,OUT010,514.6861449860122
FDM25,OUT046,2867.334307249637
NCN41,OUT049,2055.548796177081
FDU24,OUT045,1440.0382105375395
FDZ50,OUT046,3077.6519663704853
FDP45,OUT013,3833.721395709268
NCM54,OUT045,2057.654917177293
FDW10,OUT019,315.3845314767038
FDP20,OUT017,2098.9610093477713
FDK32,OUT046,2461.3595730051698
FDN52,OUT049,1395.608537039622
FDM58,OUT045,1736.0043783834926
FDZ46,OUT027,2898.3712269312086
NCA18,OUT018,1629.2067198255095
FDD35,OUT046,2049.842061031793
NCK31,OUT035,786.0214175457156
FDI40,OUT027,2700.015332030622
FDT50,OUT019,376.66548263379525
NCT06,OUT046,2621.685064783041
FDT31,OUT035,3260.36172460933
FDT45,OUT049,915.5039430277717
FDT13,OUT045,3146.6015036210592
FDO50,OUT045,1407.9216771796653
NCU18,OUT010,604.8607443531266
NCR54,OUT049,3231.62918792425
NCO18,OUT018,2639.532377422939
FDU09,OUT045,883.7038080064608
FDT13,OUT018,2947.0250955881324
FDE09,OUT046,1902.8603985577329
NCK53,OUT019,367.832883509845
FDG45,OUT049,3657.288536781639
DRH15,OUT035,721.2457057060137
FDO21,OUT019,914.5193145218839
FDD14,OUT027,5113.942567907377
FDC09,OUT046,1647.5210156551348
FDH45,OUT027,1057.6520365791762
FDV32,OUT046,1072.4185090754365
FDG12,OUT035,1953.9648570059173
FDS32,OUT013,2096.1972020628477
NCL55,OUT018,3216.9504785195313
DRE01,OUT035,3961.9728902722136
DRE15,OUT049,1312.4272557974157
NCL42,OUT045,3858.661463947719
FDP31,OUT013,1014.012438514462
FDN33,OUT018,1234.4950369110115
FDZ59,OUT046,2607.8798085434646
FDE45,OUT010,326.17562560345016
FDJ07,OUT013,1909.793307767988
FDQ45,OUT018,2867.2216724449936
FDM33,OUT027,5138.683664389203
FDO15,OUT010,381.0733622757962
FDM46,OUT013,1482.0479293204266
FDR03,OUT045,3180.848229922449
FDY49,OUT018,2447.5814770675133
FDQ60,OUT045,1856.7422556138363
FDW10,OUT049,2719.6612843893527
FDO51,OUT049,727.3022272792748
FDJ40,OUT018,1388.7605583368136
FDS20,OUT018,2884.113931059528
FDU45,OUT013,1922.4729682362843
FDV02,OUT035,2830.6982363191123
FDN09,OUT046,3717.662140048834
NCM55,OUT027,5119.715226273565
FDN23,OUT018,2194.9694256629496
FDY31,OUT010,458.0951205938484
FDW03,OUT010,596.7692510052852
FDD14,OUT046,2821.7514511623826
FDV23,OUT017,2116.3053911762036
DRI03,OUT045,2892.3164533497134
FDN13,OUT035,1641.138781701739
FDF45,OUT027,1597.9168101296148
FDU46,OUT035,1410.9223573171537
FDB57,OUT049,3789.397884395128
FDV12,OUT049,1659.231643446362
FDQ58,OUT013,2458.02442696841
NCA18,OUT017,1918.6710869037533
FDH52,OUT049,1000.7140601948832
FDM24,OUT018,2194.9694256629496
NCP43,OUT027,4960.274929474613
NCO18,OUT019,320.3804605310922
FDM32,OUT017,1442.238477252311
NCL07,OUT017,658.0137238561342
FDK03,OUT013,3729.332688765348
FDP59,OUT017,1590.3352474329638
FDQ24,OUT049,3964.9608362015647
FDQ16,OUT018,1385.3075419606675
FDU44,OUT013,2602.474651964889
FDH28,OUT010,332.92709755282044
FDV28,OUT019,250.6790968475796
FDM22,OUT045,881.850231073567
FDR56,OUT046,3069.3045652665105
FDV39,OUT049,3167.296219224884
FDU37,OUT019,294.5136605367471
FDQ11,OUT010,940.9582842738325
FDX02,OUT045,3731.4299217179723
NCS42,OUT018,1234.4950369110115
FDY57,OUT027,2500.643353795522
FDB21,OUT049,3855.5667424281596
FDE28,OUT017,3821.7645169274238
FDQ55,OUT017,1939.661279803769
FDA48,OUT049,3734.4198494145703
FDZ19,OUT045,2848.4016388697764
NCC43,OUT045,3836.4462441083533
NCV18,OUT046,1361.5895733723391
NCA42,OUT018,2344.966756344728
FDY45,OUT046,3745.046819854065
NCC30,OUT045,2880.2497462621827
FDM57,OUT013,1361.5895733723391
FDL09,OUT010,231.88226743334346
FDB09,OUT027,3245.895984788193
FDT44,OUT035,1921.5058608299141
NCT06,OUT027,4241.8638092948695
FDX26,OUT049,3203.896828154526
FDK32,OUT013,2461.3595730051698
DRA12,OUT046,2199.4720494936164
FDO46,OUT010,593.195211034369
FDE52,OUT013,1377.7991845128488
NCH42,OUT045,3869.462673473719
FDV08,OUT035,670.5743387101355
FDB47,OUT018,3035.819638868914
FDC28,OUT010,563.1429609905765
FDD22,OUT046,1898.1695856042195
FDS07,OUT027,3073.9371832116763
DRI13,OUT045,3597.0545742385784
FDG32,OUT018,3047.9786232834417
FDU14,OUT017,3894.3876258681375
FDD28,OUT019,335.0268205632613
NCP41,OUT017,1670.6349999231584
FDS08,OUT049,2915.6559118044784
FDX47,OUT045,2552.4191979346833
FDC53,OUT019,371.0515275738668
FDQ19,OUT035,3950.388149297467
FDL14,OUT045,2417.2747320130916
FDM33,OUT019,738.5235950984644
FDA51,OUT045,1851.645204847725
FDZ27,OUT018,676.58736746443
FDT04,OUT046,658.9763431931407
DRC13,OUT049,2061.2760523909214
FDR16,OUT027,5141.843827692439
FDQ03,OUT027,5220.890921641395
FDE38,OUT035,2768.7538456718335
DRH23,OUT027,1455.9285204620317
FDT11,OUT019,530.1608696566773
FDD09,OUT035,3099.7660086952346
FDR40,OUT045,1329.0560625425298
FDX07,OUT017,3237.784756609739
FDR07,OUT035,1522.4632775198038
FDA51,OUT017,1914.156424930146
FDT59,OUT019,872.8985572614083
FDF20,OUT017,3214.9311506335657
FDR13,OUT045,1873.6303664061559
FDY26,OUT049,3479.669939392246
FDW04,OUT017,2116.3053911762036
FDK52,OUT017,3872.7703059941937
FDN60,OUT049,2600.4122882949573
FDM09,OUT019,315.3845314767038
FDP46,OUT049,1395.1049791666546
FDB50,OUT019,294.5136605367471
NCQ29,OUT049,3854.158808397726
FDP16,OUT027,5298.868448315422
FDX33,OUT018,2343.470410124821
FDP07,OUT010,515.4746760000294
FDN22,OUT046,3533.592746564895
FDF39,OUT049,3884.891109988282
FDS21,OUT017,1000.0500943216832
NCM42,OUT013,1646.6138053084323
FDK50,OUT019,179.9599103623702
DRF13,OUT027,4002.979562411853
FDH35,OUT018,2316.5702930701937
FDP60,OUT018,1388.7605583368136
DRJ49,OUT027,3329.985742548479
NCT42,OUT019,211.25499809585568
FDE38,OUT049,2759.609285961065
FDI04,OUT049,3238.8251340044494
NCH54,OUT045,2546.6919417208424
FDT56,OUT049,924.8867800666512
DRD15,OUT018,3144.442246324656
FDV58,OUT013,2448.2969155192927
FDP21,OUT049,3238.0201516012157
FDH05,OUT013,3732.9408987239894
FDR10,OUT027,4246.802400222091
NCP06,OUT045,2223.289540361404
FDF33,OUT049,1658.3244330996597
DRK37,OUT013,3056.129539068738
DRH49,OUT045,1321.8883233226318
FDT58,OUT013,2709.988796045823
FDD41,OUT018,1387.8533479901112
FDP40,OUT018,1503.738265063659
FDM51,OUT027,2703.2339760946443
FDO45,OUT010,461.1194727210447
FDW33,OUT010,593.5506069412634
FDY24,OUT045,882.3537889465343
FDB10,OUT010,835.901589006953
FDM40,OUT035,2140.8896283728777
NCI06,OUT017,3096.0115667590585
FDW12,OUT019,370.57355980320193
FDX48,OUT027,4007.1113890257116
NCW05,OUT027,2700.015332030622
FDX27,OUT017,1499.652864452218
DRM37,OUT045,3090.1635681444563
FDA38,OUT045,3812.578466742624
FDR36,OUT046,658.9763431931407
FDZ45,OUT046,3132.5313232650187
FDG05,OUT017,2636.904163171751
FDK28,OUT013,3783.360041433139
FDV47,OUT045,1330.8802371559946
FDN21,OUT045,2533.837234618342
FDP20,OUT027,3333.9495409619776
FDI35,OUT045,3089.1974732127874
DRY23,OUT013,658.9763431931407
FDA56,OUT017,2084.8285215844244
FDB09,OUT013,2043.838168385852
NCO26,OUT027,3053.3852131728595
FDQ49,OUT018,2323.566338123657
FDI52,OUT027,3225.344014749376
FDZ44,OUT027,3091.4076827964996
FDZ09,OUT018,2353.2568289088713
FDY03,OUT049,1910.7874237421493
NCG42,OUT017,2186.9605692771142
DRI13,OUT027,5246.236243492904
FDQ32,OUT013,2082.7537752780718
FDW16,OUT035,1486.792067645595
FDU27,OUT046,742.6565118321568
FDR28,OUT010,358.4372697156453
FDQ49,OUT010,320.64695448409464
FDS37,OUT046,1906.6357173128793
FDW26,OUT018,3127.315237866498
FDX12,OUT018,3242.818879994164
NCP06,OUT013,2301.204962963138
FDW45,OUT010,443.9446126900344
NCN30,OUT049,1552.874193630182
FDN24,OUT049,916.9147112474416
NCL41,OUT027,1056.3020175192498
FDR02,OUT019,366.5368656002595
FDD09,OUT010,596.0142852585108
FDS33,OUT010,482.34730370812906
FDU22,OUT045,1879.8422779830883
FDI53,OUT013,2602.107150177278
DRH01,OUT049,2921.1322472125357
FDX32,OUT013,2124.2715880679766
NCP30,OUT018,583.7761091347479
FDB60,OUT045,3098.21725160501
FDB14,OUT049,1479.7808941534258
NCP02,OUT035,939.1263110603388
FDJ10,OUT017,2116.3053911762036
FDG34,OUT046,1758.4015274878284
NCB18,OUT017,1399.3701209565481
FDM16,OUT049,1189.346944062328
FDW25,OUT018,1124.4021246151804
FDB35,OUT010,510.2846906013924
DRN11,OUT013,2114.638183618278
FDF41,OUT019,724.1915654606768
FDH16,OUT045,1351.6142641901715
NCQ50,OUT018,3046.3473755799737
DRH23,OUT018,792.5325892882892
DRJ37,OUT013,2445.291679830515
DRJ24,OUT027,5119.715226273565
FDY16,OUT035,3166.371248367298
FDQ27,OUT045,1606.5343858502638
FDZ33,OUT045,2407.6867297157387
FDF29,OUT045,2079.3920321913515
FDA08,OUT049,2641.41808116858
FDG31,OUT046,1071.9757003622126
FDE34,OUT019,526.6389719341789
NCR30,OUT027,1895.4455837998808
FDV33,OUT035,3971.742783463481
DRZ24,OUT018,1748.042549438988
NCL54,OUT035,2913.165244085855
FDR12,OUT049,2924.222218423312
NCC54,OUT046,3577.581156748729
DRN59,OUT013,767.6553711246967
FDX50,OUT019,347.5185385055479
FDV31,OUT027,4833.330087261067
NCA29,OUT027,4705.448796009482
FDW60,OUT049,2928.3886589423732
FDX08,OUT017,3266.132597195554
DRD49,OUT013,3632.1513394344956
FDD33,OUT046,3650.850915564295
FDW35,OUT013,657.6263241332142
FDJ36,OUT017,1664.8038728906465
FDV51,OUT035,2866.4708880667463
FDW36,OUT046,1643.3951612444102
FDH35,OUT046,2552.9413300650253
NCS30,OUT027,3308.2486275344204
FDN49,OUT017,659.3637429160607
FDL08,OUT018,3196.87295257041
FDI09,OUT013,3365.290497517805
FDP19,OUT018,1803.6861000186602
FDU21,OUT010,342.52319534832645
NCP41,OUT045,1605.5112968722476
FDY10,OUT013,1917.209615742604
FDP12,OUT018,586.8068610332914
NCN26,OUT049,1937.508863731457
FDK44,OUT013,2865.422394966962
FDC28,OUT049,1655.1057890356376
FDJ41,OUT027,5242.866310654675
NCT29,OUT035,2085.332928428233
NCH42,OUT019,815.2283368891189
FDU60,OUT018,2392.4710159468264
FDS02,OUT045,3089.8414408786416
FDC51,OUT046,2045.2793508065213
FDU03,OUT013,2971.0765114475844
FDX39,OUT045,3520.9470368381794
NCY05,OUT010,342.52319534832645
NCL06,OUT027,5225.771092022899
FDD32,OUT035,1348.822316878526
NCN41,OUT045,2001.8284496029648
NCX53,OUT049,2142.0762344206923
FDU57,OUT019,206.25906904146737
FDQ23,OUT046,1646.6138053084323
FDQ52,OUT045,3892.0643918085257
FDC14,OUT045,647.7054041862132
FDY09,OUT035,3036.736874839981
FDQ28,OUT045,2411.5474757992506
FDV25,OUT046,3654.5414047042004
FDJ07,OUT035,1932.8487134621673
DRB25,OUT049,1656.01299938234
FDK52,OUT019,741.6837584017001
FDY52,OUT027,1732.36707458743
FDB28,OUT046,3060.929157209391
FDT36,OUT035,660.7089177030149
FDV25,OUT017,3857.079112738796
NCN07,OUT027,3326.840997707937
FDC57,OUT017,3165.0260735803445
FDQ03,OUT018,3164.86149267964
FDU23,OUT017,2774.9740980492957
NCX41,OUT035,3891.899461985847
NCD06,OUT035,777.0632068852976
FDW08,OUT045,1602.2926528082255
NCU29,OUT017,2485.5431799045455
NCE06,OUT013,2607.8798085434646
FDV52,OUT010,496.56052543680516
FDB02,OUT017,2932.1177120942048
NCR18,OUT045,647.7054041862132
FDK16,OUT049,1541.8088325322929
NCQ29,OUT010,845.9556557193878
FDZ01,OUT019,371.0515275738668
FDW27,OUT035,2600.91493214052
FDD17,OUT018,3231.4105413630728
FDW39,OUT013,2881.0541361608484
DRH59,OUT045,1059.6045258956765
FDS52,OUT013,1646.6138053084323
FDU40,OUT027,5179.499095532777
NCF54,OUT013,2817.202329357407
FDH46,OUT045,1604.6040865255452
NCP14,OUT049,1665.2639397868243
FDH50,OUT049,3187.8920770978334
DRF15,OUT010,428.47465043457896
FDV27,OUT027,2221.0936508981554
NCJ06,OUT049,2038.144640950948
FDN02,OUT018,3001.90254102722
FDQ51,OUT049,778.6050664849514
FDQ07,OUT017,3827.0241346681005
FDS45,OUT049,1658.3244330996597
NCJ06,OUT045,2000.3729546558009
FDD36,OUT035,1973.6612109154441
FDY25,OUT045,3105.8024025811637
FDU52,OUT046,2445.291679830515
DRK47,OUT017,3906.9760276383404
NCL30,OUT017,2112.572556256683
FDN22,OUT035,3929.0710735474045
NCF30,OUT027,3308.2486275344204
FDK03,OUT035,3982.608686296796
FDT45,OUT017,925.4818580685779
NCC54,OUT027,5122.835281712542
